Year,Team,Coach,Gender,Wins,Losses,Ties
1988,Arizona State,"Johnson, Ron",Men,,,
1988,Brown,"Johnston, Dave",Women,,,
1988,Eastern Michigan,"Jones, Mike",Men,,,
1988,Yale,"Keefe, Frank",Men,3,7,
1988,Yale,"Keefe, Frank",Women,,,
1988,Kansas,"Kempf, Gary",Men,,,
1988,Kansas,"Kempf, Gary",Women,6,7,
1988,Johns Hopkins,"Kennedy, George",Men,5,6,
1988,Johns Hopkins,"Kennedy, George",Women,7,5,
1988,Iowa,"Kennedy, Peter",Women,6,8,
1988,Kalamazoo,"Kent, Bob",Men,,,
1988,Kalamazoo,"Kent, Bob",Women,,,
1988,Stanford,"Kinney, Skip",Men,5,5,
1988,South Carolina,"Kirchner, Kris",Men,,,
1988,Westminster,"Klamut, Rob",Men,,,
1988,Westminster,"Klamut, Rob",Women,,,
1988,East Carolina,"Kobe, Rick",Men,6,6,
1988,Penn State,"Krimmel, Bob",Women,,,
1988,Southern California,"LaMont, Don",Women,6,6,
1988,Penn,"Lawlor-Gilbert, Kathy",Men,,,
1988,Penn,"Lawlor-Gilbert, Kathy",Women,,,
1988,Navy,"Lawrence, Lee",Men,10,3,
1988,Wheaton (IL),"Lederhouse, Jon",Men,,,
1988,Wheaton (IL),"Lederhouse, Jon",Women,,,
1988,Miami (OH),"Lindsay, Pete",Men,,,
1988,Rowan,"Lisa, Tony",Men,,,
1988,Rowan,"Lisa, Tony",Women,,,
1988,Norwich,"Locke, Stephen",Men,,,
1988,Norwich,"Locke, Stephen",Women,,,
1988,Grove City,"Longnecker, James",Men,,,
1988,Cornell,"Lucia, Joe",Men,3,8,0
1988,Cornell,"Lucia, Joe",Women,5,5,0
1988,Colby,"MacDonald, Robby",Men,,,
1988,Colby,"MacDonald, Robby",Women,,,
1988,Cal State Bakersfield,"Maglischo, Ernie",Men,,,
1988,Ithaca,"Markwardt, Kevin",Men,,,
1988,Henderson State,"Matthews, Coak",Men,,,
1988,Henderson State,"Matthews, Coak",Women,,,
1988,Colorado State,"Mattos, John",Women,,,
1988,Luther,"McGrew, Jay",Men,,,
1988,Luther,"McGrew, Jay",Women,,,
1988,Fresno State,"McKeever, Teri",Women,3,8,
1988,Southern Methodist,"McMillion, George",Men,,,
1988,Tufts,"Megerle, Don",Men,6,3,
1988,Oberlin,"Michaels, Richard",Men,,,
1988,Clarion,"Miller, Bill",Men,,,
1988,Clarion,"Miller, Bill",Women,,,
1988,Shippensburg,"Miller, Donald",Men,,,
1988,Shippensburg,"Miller, Donald",Women,,,
1988,Ithaca,"Miller, Paula",Women,,,
1988,California,"Moe, Karen",Women,8,2,
1988,UC San Diego,"Mogan, Bill",Women,,,
1988,Ohio State,"Montrella, Bill",Women,,,
1988,UC San Diego,"Morgan, Bill",Men,,,
1988,Cleveland State,"Morton, Wally",Men,8,5,
1988,Texas A&M,"Nash, Mel",Men,3,4,
1988,Texas A&M,"Nash, Mel",Women,4,4,
1988,Massachusetts,"Newcomb, Bob",Women,8,3,0
1988,Georgia Tech,No Team,Men,,,
1988,Carthage,No Team,Men,,,
1988,Carthage,No Team,Women,,,
1988,Virginia Tech,"Norris, Wayne",Men,0,5,
1988,Virginia Tech,"Norris, Wayne",Women,0,5,
1988,Centre,"Nutty, Sue",Men,,,
1988,Centre,"Nutty, Sue",Women,,,
1988,Franklin & Marshall,"O'Hara, Barbara",Men,,,
1988,Franklin & Marshall,"O'Hara, Barbara",Women,,,
1988,Grinnell,"Obermiller, Ray",Men,,,
1988,Grinnell,"Obermiller, Ray",Women,,,
1988,Eastern Michigan,"Olcase, Mary Ellen",Women,,,
1988,Princeton,"Orr, C. Rob",Men,9,1,
1988,Eastern Illinois,"Padovan, Ray",Men,,,
1988,Eastern Illinois,"Padovan, Ray",Women,,,
1988,Holy Cross,"Parenteau, Barry",Men,,,
1988,Holy Cross,"Parenteau, Barry",Women,,,
1988,Denison,"Parini, Gregg",Men,9,4,
1988,Denison,"Parini, Gregg",Women,6,5+1,
1988,Michigan State,"Parks, Jennifer",Women,,,
1988,Illinois State,"Paska, Steve",Women,,,
1988,Hope,"Patnott, John",Men,7,2,
1988,Hope,"Patnott, John",Women,10,0,
1988,Iowa,"Patton, Glenn",Men,7,4,
1988,Wabash,"Pebworth, Gail",Men,,,
1988,UW-LaCrosse,"Pein, Richard",Men,,,
1988,UW-LaCrosse,"Pein, Richard",Women,,,
1988,Wisconsin,"Pettinger, Jack",Men,8,5,
1988,Washington State,"Pipher, Debbie",Women,1,3,
1988,Louisiana-Monroe,"Pittington, John",Men,,,
1988,Louisiana-Monroe,"Pittington, John",Women,,,
1988,Western Kentucky,"Powell, Bill",Men,,,
1988,Western Kentucky,"Powell, Bill",Women,,,
1988,Brigham Young,"Powers, Tim",Men,,,
1988,UW-Eau Claire,"Prior, Tom",Men,,,
1988,UW-Eau Claire,"Prior, Tom",Women,,,
1988,Navy,"Purdy, Dick",Women,13,1,
1988,Texas,"Quick, Richard",Women,,,
1988,Gettysburg,"Rawleigh, Mike",Men,9,4,0
1988,Gettysburg,"Rawleigh, Mike",Women,12,0,0
1988,Wells,"Raynolds, Dorsi",Women,3,8,
1988,Utah,"Reddish, Don",Men,10,1,
1988,Brown,"Reed, Edward",Men,,,
1988,Texas,"Reese, Eddie",Men,8,3,
1988,Florida,"Reese, Randy",Men,6,1,
1988,Florida,"Reese, Randy",Women,7,1,
1988,UNLV,"Reitz, Jim",Men,,,
1988,UNLV,"Reitz, Jim",Women,,,
1988,Washington & Lee,"Remilard, Page",Men,6,2,
1988,Washington & Lee,"Remilard, Page",Women,3,6,
1988,Drury,"Reynolds, Brian",Men,,,
1988,Drury,"Reynolds, Brian",Women,,,
1988,Minnesota-Mankato,"Rhoade, Phil",Men,,,
1988,Minnesota-Mankato,"Rhoade, Phil",Women,,,
1988,Dickinson,"Richards, Paul",Men,,,
1988,Dickinson,"Richards, Paul",Women,,,
1988,Michigan,"Richardson, Jim",Women,7,0,
1988,Bloomsburg,"Rider, Dave",Men,,,
1988,Bloomsburg,"Rider, Dave",Women,,,
1988,Tennessee,"Roach, Dave",Women,6,5,
1988,Pepperdine,"Rodionoff, Nick",Women,,,
1988,Northern Arizona,"Rogers, Pam",Women,8,4,
1988,Saint Johns (NY),"Rose, Dave",Men,0,9,1
1988,Saint Johns (NY),"Rose, Dave",Women,2,7,
1988,Purdue,"Ross, Dan",Men,,,
1988,Hartwick,"Rothenberger, Dale",Men,,,
1988,Hartwick,"Rothenberger, Dale",Women,,,
1988,Bucknell,"Russell, Dick",Men,5,5,
1988,North Central,"Ryan, Dennis",Men,,,
1988,North Central,"Ryan, Dennis",Women,,,
1988,Army,"Ryan, Jack",Men,,,
1988,Wesleyan,"Ryan, John",Women,4,5,
1988,Illinois,"Sammons, Don",Men,,,
1988,Illinois,"Sammons, Don",Women,,,
1988,Williams,"Samuelson, Carl",Men,,,
1988,Williams,"Samuelson, Carl",Women,,,
1988,Alfred,"Schaeberle, Mike",Men,,,
1988,Alfred,"Schaeberle, Mike",Women,,,
1988,UC Irvine,"Schober, Charlie",Men,,,
1988,UC Irvine,"Schober, Charlie",Women,,,
1988,Puget Sound,"Scott, Mark",Women,,,
1988,Ball State,"Seibold-Caudill, Laura",Women,,,
1988,Saint Bonaventure,"Skehan, John",Men,,,
1988,Ohio State,"Sloan, Richard",Men,2,6,
1988,Emory,"Smith, Peter",Men,8,4,
1988,Emory,"Smith, Peter",Women,5,6,
1988,New Mexico,"Spahn, Bill",Men,,,
1988,New Mexico,"Spahn, Bill",Women,,,
1988,Missouri State,"Steck, Jack",Men,7,3,
1988,Kenyon,"Steen, Jim",Men,3,7,0
1988,Kenyon,"Steen, Jim",Women,3,5,0
1988,SUNY New Paltz,"Stockin, Art",Men,,,
1988,SUNY New Paltz,"Stockin, Art",Women,,,
1988,New Hampshire,"Straker, Brenda",Men,,,
1988,New Hampshire,"Straker, Brenda",Women,,,
1988,North Dakota,"Stromberg, Mike",Men,,,
1988,North Dakota,"Stromberg, Mike",Women,,,
1988,Claremont-Mudd-Scripps,"Sutton, Mike",Men,,,
1988,Northeastern,"Swanson, Janet",Women,9,2,
1988,Maine,"Switzer, Alan",Men,6,4,
1988,Texas Christian,"Sybesma, Richard",Men,,,
1988,Texas Christian,"Sybesma, Richard",Women,,,
1988,East Carolina,"Taffe, John",Women,9,3,
1988,Pacific,"Taketa, Jim",Women,,,
1988,Pacific,"Tanner, John",Men,,,
1988,Princeton,"Teeter, Susan",Women,5,4,
1988,Buffalo,"Termin, Budd",Men,,,
1988,Ball State,"Thomas, Bob",Men,,,
1988,Augustana (IL),"Thomas, Dave",Men,,,
1988,Augustana (IL),"Thomas, Dave",Women,,,
1988,California,"Thornton, Nort",Men,10,2,
1988,Pomona-Pitzer,"Troyer, Gary",Men,,,
1988,Michigan,"Urbanchek, Jon",Men,8,0,
1988,Iowa State,"Van Horn, Ramsey",Women,,,
1988,Marist,"VanWagner, Larry",Men,7,3,
1988,Marist,"VanWagner, Larry",Women,,,
1988,Coe,"Vokolek, Dennis",Men,,,
1988,Coe,"Vokolek, Dennis",Women,,,
1988,Michigan State,"Wadley, Bill",Men,,,
1988,Cleveland State,"Wagner, Lorry",Women,8,6,
1988,Buffalo,"Ward, Emily",Women,7,4,
1988,South Carolina,"Weathers, Bailey",Women,,,
1988,Notre Dame,"Welsh, Tim",Men,11,2,
1988,Notre Dame,"Welsh, Tim",Women,9,7,
1988,Rhode Island,"Westkott, Mick",Men,,,
1988,Rhode Island,"Westkott, Mick",Women,7,4,
1988,Boston University,"Wetmore, Reagh",Men,,,
1988,Boston University,"Wetmore, Reagh",Women,,,
1988,Northwestern,"Wickstrand, Kathie",Women,,,
1988,UC Santa Barbara,"Wilson, Gregg",Men,,,
1988,UC Santa Barbara,"Wilson, Gregg",Women,,,
1988,Utah,"Wilson, Jim",Women,8,4,
1988,Oregon State,"Worden, Laura",Women,7,2,
1988,Maine,"Wren, Jeff",Women,8,3,
1988,Purdue,"Wright-Eger, Cathy",Women,,,
1988,Massachusetts,"Yarworth, Russ",Men,12,0,0
1988,Cal State Chico,"Yeager, Clark",Men,8,1,
1988,Millikin,"Young, Tony",Men,,,
1988,Millikin,"Young, Tony",Women,,,
1988,Brandeis,"Zotz, Jim",Men,,,
1988,Brandeis,"Zotz, Jim",Women,,,
1988,Baldwin-Wallace,,Men,,,
1988,Baldwin-Wallace,,Women,,,
1988,Redlands,,Men,,,
1988,Redlands,,Women,,,
1988,Macalester,,Men,,,
1988,Macalester,,Women,,,
1988,Rochester,,Women,,,
1988,Smith,,Men,,,
1988,Smith,,Women,,,
1988,William Smith,,Women,,,
1988,Wittenberg,,Men,,,
1988,Wittenberg,,Women,,,
1988,Juniata,,Men,,,
1988,Juniata,,Women,,,
1988,Colorado College,,Men,,,
1988,Colorado College,,Women,,,
1988,SUNY Oswego,,Men,,,
1988,SUNY Oswego,,Women,,,
1988,Northeastern,,Men,,,
1988,Springfield,,Men,,,
1988,Springfield,,Women,,,
1988,Illinois Wesleyan,,Men,,,
1988,Illinois Wesleyan,,Women,,,
1988,Randolph-Macon,,Men,,,
1988,Randolph-Macon,,Women,,,
1988,Connecticut,,Men,,,
1988,Connecticut,,Women,,,
1988,RIT,,Men,,,
1988,RIT,,Women,,,
1988,Villanova,,Men,,,
1988,Villanova,,Women,,,
1988,Carnegie Mellon,,Men,,,
1988,Carnegie Mellon,,Women,,,
1988,Richmond,,Men,,,
1988,Richmond,,Women,,,
1988,Washington College (MD),,Men,,,
1988,Washington College (MD),,Women,,,
1988,Maryland,,Men,,,
1988,Maryland,,Women,,,
1988,Grove City,,Women,,,
1988,RPI,,Men,,,
1988,RPI,,Women,,,
1988,Arkansas,,Men,,,
1988,Arkansas,,Women,,,
1988,Delta State,,Men,,,
1988,Delta State,,Women,,,
1988,Colorado School of Mines,,Men,,,
1988,Colorado School of Mines,,Women,,,
1988,Hawaii,,Men,,,
1988,Hawaii,,Women,,,
1988,TCNJ,,Men,,,
1988,TCNJ,,Women,,,
1988,UW-Oshkosh,,Men,,,
1988,UW-Oshkosh,,Women,,,
1988,Calvin,,Men,,,
1988,Calvin,,Women,,,
1988,Lewis,,Men,,,
1988,Lewis,,Women,,,
1988,New York University,,Men,,,
1988,New York University,,Women,,,
1988,Salem,,Women,,,
1988,Slippery Rock,,Men,,,
1988,Slippery Rock,,Women,,,
1988,Houston,,Men,,,
1988,Houston,,Women,,,
1988,Hiram,,Men,,,
1988,Hiram,,Women,,,
1988,California (PA),,Men,,,
1988,California (PA),,Women,,,
1988,Mount Union,,Men,,,
1988,Mount Union,,Women,,,
1988,Northern Michigan,,Men,,,
1988,Conn College,,Men,,,
1988,Conn College,,Women,,,
1988,Southern Methodist,,Women,,,
1988,Bates,,Men,,,
1988,Bates,,Women,,,
1988,Florida State,,Men,,,
1988,Florida State,,Women,,,
1988,Indiana (PA),,Men,,,
1988,Indiana (PA),,Women,,,
1988,South Dakota,,Men,,,
1988,South Dakota,,Women,,,
1988,Hamilton,,Men,,,
1988,Hamilton,,Women,,,
1988,Chapman,,Men,,,
1988,Chapman,,Women,,,
1988,Grand Valley,,Men,,,
1988,Grand Valley,,Women,,,
1988,Gustavus Adolphus,,Men,,,
1988,Gustavus Adolphus,,Women,,,
1988,WashU,,Men,,,
1988,WashU,,Women,,,
1988,Saint Cloud State,,Men,,,
1988,Saint Cloud State,,Women,,,
1988,Indianapolis,,Men,,,
1988,Indianapolis,,Women,,,
1988,West Chester,,Men,,,
1988,West Chester,,Women,,,
1988,Transylvania,,Men,,,
1988,Transylvania,,Women,,,
1988,Arizona,,Women,,,
1988,Truman State,,Men,4,7,
1988,Truman State,,Women,3,1,
1988,Manhattan,,Men,,,
1988,Manhattan,,Women,,,
1988,Hillsdale,,Women,,,
1988,Lafayette,,Men,,,
1988,Lafayette,,Women,,,
1988,La Verne,,Men,,,
1988,La Verne,,Women,,,
1988,Loras,,Men,,,
1988,Loras,,Women,,,
1988,Lewis & Clark,,Men,,,
1988,Lewis & Clark,,Women,,,
1988,Hamline,,Men,,,
1988,Hamline,,Women,,,
1988,Lawrence,,Men,,,
1988,Lawrence,,Women,,,
1988,Lehigh,,Men,,,
1988,Lehigh,,Women,,,
1988,Hendrix,,Men,,,
1988,Hendrix,,Women,,,
1988,Mary Washington,,Men,,,
1988,Mary Washington,,Women,,,
1988,Le Moyne,,Men,,,
1988,Le Moyne,,Women,,,
1988,La Salle,,Men,,,
1988,La Salle,,Women,,,
1988,Lehman,,Men,,,
1988,Lehman,,Women,,,
1988,John Carroll,,Men,,,
1988,John Carroll,,Women,,,
1988,Loyola Marymount,,Women,,,
1988,Loyola (MD),,Men,,,
1988,Loyola (MD),,Women,,,
1988,James Madison,,Women,,,
1988,Lock Haven,,Men,,,
1988,Lock Haven,,Women,,,
1988,Lycoming,,Men,,,
1988,Lycoming,,Women,,,
1988,Fairfield,,Men,,,
1988,Fairfield,,Women,,,
1988,Hollins,,Men,,,
1988,Hollins,,Women,,,
1988,Hood,,Men,,,
1988,Hood,,Women,,,
1988,Knox,,Men,,,
1988,Knox,,Women,,,
1988,Louisville,,Men,,,
1988,Louisville,,Women,,,
1988,Kings (PA),,Men,,,
1988,Kentucky,,Men,,,
1988,Kentucky,,Women,,,
1988,Keene State,,Men,,,
1988,Keene State,,Women,,,
1988,Kean,,Men,,,
1988,Kean,,Women,,,
1988,Howard,,Men,,,
1988,Howard,,Women,,,
1988,Hunter,,Men,,,
1988,Hunter,,Women,,,
1988,IUPUI,,Men,,,
1988,IUPUI,,Women,,,
1988,UC Santa Cruz,,Men,,,
1988,UC Santa Cruz,,Women,,,
1988,Bryn Mawr,,Women,,,
1988,Butler,,Men,,,
1988,Butler,,Women,,,
1988,Caltech,,Men,,,
1988,Caltech,,Women,,,
1988,Cal State East Bay,,Men,,,
1988,Cal State East Bay,,Women,,,
1988,Charleston,,Men,,,
1988,Charleston,,Women,,,
1988,Bridgewater State,,Men,,,
1988,Canisius,,Men,,,
1988,Canisius,,Women,,,
1988,Carleton,,Women,,,
1988,Carroll,,Men,,,
1988,Carroll,,Women,,,
1988,Case Western,,Men,,,
1988,Case Western,,Women,,,
1988,Catholic,,Men,,,
1988,Catholic,,Women,,,
1988,Central Connecticut,,Men,,,
1988,Central Connecticut,,Women,,,
1988,Central Washington,,Men,,,
1988,Central Washington,,Women,,,
1988,Fairmont State,,Men,,,
1988,Fairmont State,,Women,,,
1988,Babson,,Men,,,
1988,Babson,,Women,,,
1988,Albion,,Men,,,
1988,Albion,,Women,,,
1988,Albright,,Men,,,
1988,Albright,,Women,,,
1988,Alma,,Men,,,
1988,Alma,,Women,,,
1988,American,,Men,,,
1988,American,,Women,,,
1988,Little Rock,,Women,,,
1988,Ashland,,Men,,,
1988,Ashland,,Women,,,
1988,Brooklyn,,Men,,,
1988,Brooklyn,,Women,,,
1988,Austin College,,Men,,,
1988,Austin College,,Women,,,
1988,Beloit,,Men,,,
1988,Beloit,,Women,,,
1988,Benedictine,,Men,,,
1988,Benedictine,,Women,,,
1988,Bentley,,Women,,,
1988,Bethany (WV),,Men,,,
1988,Bethany (WV),,Women,,,
1988,Frostburg State,,Men,,,
1988,Frostburg State,,Women,,,
1988,Edinboro,,Men,,,
1988,Edinboro,,Women,,,
1988,Elizabethtown,,Men,,,
1988,Evansville,,Men,,,
1988,Evansville,,Women,,,
1988,Findlay,,Women,,,
1988,Florida A&M,,Men,,,
1988,Fordham,,Men,,,
1988,Fordham,,Women,,,
1988,Gallaudet,,Men,,,
1988,Gallaudet,,Women,,,
1988,Gannon,,Men,,,
1988,Gannon,,Women,,,
1988,Gardner-Webb,,Men,,,
1988,Gardner-Webb,,Women,,,
1988,George Mason,,Men,,,
1988,George Mason,,Women,,,
1988,George Washington,,Men,,,
1988,George Washington,,Women,,,
1988,Georgetown,,Men,,,
1988,Georgetown,,Women,,,
1988,Gordon College,,Men,,,
1988,Gordon College,,Women,,,
1988,Goucher,,Men,,,
1988,Goucher,,Women,,,
1988,Chicago,,Men,,,
1988,Chicago,,Women,,,
1988,Claremont-Mudd-Scripps,,Women,,,
1988,Clark,,Men,,,
1988,Clark,,Women,,,
1988,Clarkson,,Men,,,
1988,Clarkson,,Women,,,
1988,Colgate,,Men,,,
1988,Colgate,,Women,,,
1988,Misericordia,,Men,,,
1988,Colorado State,,Men,,,
1988,Eastern Connecticut,,Men,,,
1988,Eastern Connecticut,,Women,,,
1988,Concordia-Moorhead,,Women,,,
1988,East Stroudsburg,,Men,,,
1988,East Stroudsburg,,Women,,,
1988,Dartmouth,,Men,,,
1988,Dartmouth,,Women,,,
1988,Davidson,,Men,,,
1988,Davidson,,Women,,,
1988,DePauw,,Men,,,
1988,Drew,,Men,,,
1988,Drew,,Women,,,
1988,Drexel,,Men,,,
1988,Drexel,,Women,,,
1988,Duke,,Men,5,4,
1988,Duke,,Women,6,3,
1988,Duquesne,,Men,,,
1988,Duquesne,,Women,,,
1988,Greensboro,,Men,,,
1988,Greensboro,,Women,,,
1988,Columbia,,Women,,,
1988,Washington State,,Men,,,
1988,Wayne State,,Men,,,
1988,Wayne State,,Women,,,
1988,West Virginia Wesleyan,,Men,,,
1988,West Virginia Wesleyan,,Women,,,
1988,Wagner,,Men,,,
1988,Wagner,,Women,,,
1988,Western Illinois,,Men,,,
1988,Western Illinois,,Women,,,
1988,McDaniel,,Men,,,
1988,McDaniel,,Women,,,
1988,Western New England,,Men,,,
1988,Western New England,,Women,,,
1988,Westfield State,,Women,,,
1988,Wheaton (MA),,Men,,,
1988,Wheaton (MA),,Women,,,
1988,Wheeling University,,Men,,,
1988,Wheeling University,,Women,,,
1988,SUNY Cobleskill,,Men,,,
1988,SUNY Cobleskill,,Women,,,
1988,Whitman,,Men,,,
1988,Whitman,,Women,,,
1988,Whittier,,Men,,,
1988,Whittier,,Women,,,
1988,Widener,,Men,,,
1988,Widener,,Women,,,
1988,Willamette,,Men,,,
1988,Willamette,,Women,,,
1988,Western Connecticut,,Men,,,
1988,Western Connecticut,,Women,,,
1988,USMMA,,Men,,,
1988,USMMA,,Women,,,
1988,Staten Island,,Men,,,
1988,Staten Island,,Women,,,
1988,Stevens Institute,,Men,,,
1988,Stevens Institute,,Women,,,
1988,Susquehanna,,Men,,,
1988,Susquehanna,,Women,,,
1988,Sweet Briar,,Men,,,
1988,Sweet Briar,,Women,,,
1988,Syracuse,,Men,,,
1988,Syracuse,,Women,,,
1988,Toledo,,Women,,,
1988,Towson,,Men,,,
1988,Towson,,Women,,,
1988,Trinity (CT),,Men,,,
1988,Trinity (CT),,Women,,,
1988,Trinity (TX),,Men,,,
1988,Trinity (TX),,Women,,,
1988,Washington & Jefferson,,Men,,,
1988,Washington & Jefferson,,Women,,,
1988,Coast Guard,,Men,,,
1988,Coast Guard,,Women,,,
1988,Ursinus,,Men,,,
1988,Ursinus,,Women,,,
1988,Utica,,Men,,,
1988,Utica,,Women,,,
1988,Valparaiso,,Men,,,
1988,Valparaiso,,Women,,,
1988,Vassar,,Women,,,
1988,Vermont,,Men,,,
1988,Vermont,,Women,,,
1988,Virginia Military Institute,,Women,,,
1988,SUNY-Old Westbury,,Men,,,
1988,SUNY-Old Westbury,,Women,,,
1988,Penn State-Behrend,,Men,,,
1988,Penn State-Behrend,,Women,,,
1988,Sewanee,,Men,,,
1988,Sewanee,,Women,,,
1988,Union (KY),,Women,,,
1988,Tulane,,Men,,,
1988,Tulane,,Women,5,5,
1988,William & Mary,,Men,,,
1988,William & Mary,,Women,,,
1988,John Brown,,Men,,,
1988,Buffalo State,,Men,,,
1988,Buffalo State,,Women,,,
1988,Florida Southern,,Men,,,
1988,Florida Southern,,Women,,,
1988,Indian River,,Men,,,
1988,Indian River,,Women,,,
1988,Pacific (OR),,Women,,,
1988,Monmouth (IL),,Women,,,
1988,Lincoln,,Men,,,
1988,Lincoln,,Women,,,
1988,Illinois Tech,,Men,,,
1988,Illinois Tech,,Women,,,
1988,Oneonta State,,Men,,,
1988,Oneonta State,,Women,,,
1988,SUNY Oneonta,,Men,,,
1988,SUNY Oneonta,,Women,,,
1988,UW-Green Bay,,Men,,,
1988,UW-Green Bay,,Women,,,
1988,UW-River Falls,,Men,,,
1988,UW-River Falls,,Women,,,
1988,UW-Whitewater,,Men,,,
1988,UW-Whitewater,,Women,,,
1988,WPI,,Men,,,
1988,WPI,,Women,,,
1988,Wright State,,Men,,,
1988,Wright State,,Women,,,
1988,Wyoming,,Men,,,
1988,Wyoming,,Women,,,
1988,Xavier,,Men,,,
1988,Xavier,,Women,,,
1988,Marshall,,Men,,,
1988,Marshall,,Women,,,
1988,Youngstown State,,Men,,,
1988,Youngstown State,,Women,,,
1988,Lindenwood,,Men,,,
1988,Lindenwood,,Women,,,
1988,Binghamton,,Men,,,
1988,Binghamton,,Women,,,
1988,California Baptist,,Men,,,
1988,California Baptist,,Women,,,
1988,Colby-Sawyer,,Men,,,
1988,Colby-Sawyer,,Women,,,
1988,Cumberlands,,Men,,,
1988,Cumberlands,,Women,,,
1988,Fresno State,,Men,,,
1988,York (PA),,Men,,,
1988,York (PA),,Women,,,
1988,Northern Colorado,,Men,,,
1988,Northern Colorado,,Women,,,
1988,Northern Iowa,,Men,,,
1988,Northern Iowa,,Women,,,
1988,Notre Dame (MD),,Men,,,
1988,Notre Dame (MD),,Women,,,
1988,Oberlin,,Women,,,
1988,Ohio Northern,,Men,,,
1988,Ohio Northern,,Women,,,
1988,Ohio Wesleyan,,Men,,,
1988,Ohio Wesleyan,,Women,,,
1988,Old Dominion,,Men,,,
1988,Old Dominion,,Women,,,
1988,Olivet,,Men,,,
1988,Olivet,,Women,,,
1988,Ouachita Baptist,,Men,,,
1988,Ouachita Baptist,,Women,,,
1988,Pacific Lutheran,,Men,,,
1988,Pacific Lutheran,,Women,,,
1988,Penn State-Altoona,,Men,,,
1988,Penn State-Altoona,,Women,,,
1988,Stony Brook,,Men,,,
1988,Stony Brook,,Women,,,
1988,Occidental,,Men,,,
1988,Occidental,,Women,,,
1988,Mount Holyoke,,Women,,,
1988,Metro State,,Men,,,
1988,Metro State,,Women,,,
1988,Miami (FL),,Men,,,
1988,Miami (FL),,Women,,,
1988,Millersville,,Men,,,
1988,Millersville,,Women,,,
1988,Missouri,,Men,,,
1988,Missouri,,Women,,,
1988,North Carolina A&T,,Men,,,
1988,North Carolina A&T,,Women,,,
1988,Niagara,,Men,,,
1988,Niagara,,Women,,,
1988,Mount Saint Mary (NY),,Women,,,
1988,Nazareth,,Men,,,
1988,Nazareth,,Women,,,
1988,Nebraska-Kearney,,Women,,,
1988,Nevada,,Men,,,
1988,Nevada,,Women,,,
1988,Adelphi,,Men,,,
1988,Adelphi,,Women,,,
1988,NJIT,,Men,,,
1988,NJIT,,Women,,,
1988,New Mexico State,,Men,,,
1988,New Mexico State,,Women,,,
1988,Missouri S&T,,Men,,,
1988,York (NY),,Men,,,
1988,York (NY),,Women,,,
1988,Skidmore,,Men,,,
1988,Skidmore,,Women,,,
1988,South Dakota State,,Men,,,
1988,Southern Illinois,,Men,7,4,
1988,Southern Illinois,,Women,7,7,
1988,Missouri State,,Women,,,
1988,Southwestern,,Men,,,
1988,Southwestern,,Women,,,
1988,Saint Benedict (MN),,Women,,,
1988,Saint Bonaventure,,Women,,,
1988,Saint Catherine (MN),,Women,,,
1988,Saint Francis (NY),,Men,,,
1988,Saint Francis (NY),,Women,,,
1988,Saint John's (MN),,Men,,,
1988,Seton Hall,,Men,,,
1988,Seton Hall,,Women,,,
1988,Saint Joseph (CT),,Men,,,
1988,Saint Joseph (CT),,Women,,,
1988,Saint Lawrence,,Men,,,
1988,Saint Lawrence,,Women,,,
1988,Saint Marys (MD),,Men,,,
1988,Saint Marys (MD),,Women,,,
1988,Saint Marys (MN),,Men,,,
1988,Saint Marys (MN),,Women,,,
1988,Saint Michaels,,Men,,,
1988,Saint Michaels,,Women,,,
1988,Saint Peters,,Men,,,
1988,Saint Peters,,Women,,,
1988,SUNY Brockport,,Men,,,
1988,SUNY Brockport,,Women,,,
1988,SUNY Cortland,,Men,,,
1988,SUNY Cortland,,Women,,,
1988,Marymount,,Women,,,
1988,Plymouth State,,Men,,,
1988,Plymouth State,,Women,,,
1988,Principia,,Men,,,
1988,Principia,,Women,,,
1988,Providence,,Men,,,
1988,Providence,,Women,,,
1988,Queens (NY),,Men,,,
1988,Queens (NY),,Women,,,
1988,Regis,,Men,,,
1988,Regis,,Women,,,
1988,Rice,,Men,,,
1988,Rice,,Women,,,
1988,Ripon,,Men,,,
1988,Ripon,,Women,,,
1988,Rollins,,Men,,,
1988,Rollins,,Women,,,
1988,Simmons,,Men,,,
1988,Simmons,,Women,,,
1988,Siena,,Men,,,
1988,Siena,,Women,,,
1988,Saint Louis,,Men,,,
1988,Saint Louis,,Women,,,
1988,Salisbury,,Men,,,
1988,Salisbury,,Women,,,
1988,San Diego State,,Women,,,
1988,San Francisco State,,Men,,,
1988,San Francisco State,,Women,,,
1988,San Jose State,,Men,,,
1988,San Jose State,,Women,,,
1988,Scranton,,Men,,,
1988,Scranton,,Women,,,
1988,SUNY-Potsdam,,Men,,,
1988,SUNY-Potsdam,,Women,,,
1988,Rose-Hulman,,Men,,,
1988,Rose-Hulman,,Women,,,
1988,Idaho,,Men,,,
1988,Idaho,,Women,,,
1988,Centenary,,Men,,,
1988,Centenary,,Women,,,
1988,Bryant,,Men,,,
1988,Bryant,,Women,,,
1988,Simon Fraser,,Men,,,
1988,Simon Fraser,,Women,,,
1988,Alaska-Fairbanks,,Men,,,
1988,Alaska-Fairbanks,,Women,,,
1988,Vanderbilt,,Women,,,
1988,LIU Post,,Women,,,
1988,Pittsburgh-Bradford,,Men,,,
1988,Pittsburgh-Bradford,,Women,,,
